,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Vsnl1,5.8959,9.5028,4.8014,9.7781,8.6488,7.6055,15.462,10.811,9.9827,12.939,5.7715,8.9288,8.7737,3.3427,3.7211,5.7132,3.3556,4.8107
Wasf1,0,0.95028,0.96029,0,1.0811,1.0865,0,2.7028,1.9965,4.3129,1.9238,2.2322,0.97486,0.83568,2.7908,1.9044,2.5167,0.80178
Wdr1,0,0.95028,0,1.2223,2.1622,2.173,0,0.90092,0.99827,0,0,1.1161,0.97486,2.507,2.7908,2.8566,3.3556,4.0089
Wdr7,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,4.1784,0.93027,0,4.1945,4.0089
Xpo1,0,0,0.96029,0,0,1.0865,0,0,0,0,0,0,0.97486,0,1.8605,0,1.6778,0.80178
Ywhab,13.266,10.453,11.523,12.223,11.892,10.865,21.408,14.415,10.981,17.252,12.505,14.509,8.7737,7.5211,8.3724,7.6176,5.0334,5.6125
Ywhae,16.214,16.155,15.365,12.223,11.892,16.298,19.03,14.415,8.9844,14.017,13.467,13.393,8.7737,6.6854,4.6514,6.6654,3.3556,6.4143
Ywhag,4.4219,7.6023,6.722,6.1113,6.4866,5.4325,10.704,10.811,10.981,15.095,10.581,7.8127,5.8492,8.3568,7.4422,6.6654,5.8723,5.6125
Ywhah,7.3699,9.5028,8.6426,6.1113,7.5677,7.6055,13.083,6.3064,9.9827,14.017,11.543,10.045,6.824,5.0141,3.7211,5.7132,2.5167,2.4054
Ywhaq,11.792,9.5028,6.722,7.3336,8.6488,8.6921,17.84,10.811,11.979,16.173,11.543,17.858,8.7737,7.5211,5.5816,6.6654,5.0334,5.6125
Ywhaz,14.74,11.403,9.6029,13.445,15.135,11.952,20.219,14.415,17.969,26.955,19.238,21.206,10.723,9.1924,10.233,10.474,7.5501,7.2161
Zc3h18,0,0,0,0,0,0,1.1894,0.90092,0,0,0,2.2322,0,0,0.93027,0,0,0
